Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d),BOE / month,Revenue Oil,Revenue NGL,Revenue Gas,Revenue,OPEX,EBITDA,CAPEX,Net Operating Cash Flow,SEC Net Cash Flow,Discount Factor,PV (all-in),PV (SEC)
10,110533.87114968512,21193.14515164136,9564.766645534795,30757.91179717615,141291.78294686126,4295270.201584582,151664272.709871,15841815.557484256,5914587.067581969,173420675.33493724,62667992.24111906,110752683.09381819,72828000.0,37924683.09381819,45441405.9465912,0.9199863855821813,34890192.12383145,41805474.812577076
11,108403.55923879318,22178.678803246818,10021.557111215716,32200.235914462533,140603.79515325572,4274355.372658974,150925778.4664393,15764677.485440828,5885787.348151407,172576243.30003154,62362844.88709442,110213398.41293712,72828000.0,37385398.41293712,44865520.31509033,0.9127083212578422,34121964.225027435,40949133.729145706
12,106358.07477449357,23107.21826955755,10449.666217962222,33556.88448751977,139914.95926201332,4253414.761565205,150186373.8649628,15687444.323604789,5856952.126675287,171730770.31524286,62057321.37123634,109673448.94400652,72828000.0,36845448.94400652,44288924.77674563,0.9054878341119694,33363105.761191614,40103082.57124334
13,104392.37771569307,23985.544628371932,10852.422968541085,34837.96759691302,139230.3453126061,4232602.497503226,149451501.1458399,15610684.5312914,5828293.639061942,170890479.31619322,61753670.438572064,109136808.87762116,72828000.0,36308808.87762116,43715863.248251796,0.898324468648248,32617091.442239817,39271029.62398527
14,102501.82214299226,24819.268009179035,11232.611690376374,36051.87969955541,138553.70184254766,4212032.536013449,148725184.03362048,15534818.3993248,5799968.802090518,170059971.2350358,61453554.70043621,108606416.5345996,72828000.0,35778416.5345996,43149473.472623125,0.8912177729738198,31886360.70449555,38455577.6532641
15,100682.11832993734,25613.085452204898,11592.584405874091,37205.66985807899,137887.78818801633,4191788.760915696,148010384.43242887,15460155.30800927,5772093.123780914,169242632.86421904,61158198.02176001,108084434.84245902,72828000.0,35256434.84245902,42592065.17406151,0.8841672987707772,31172586.758944906,37658511.21401885
16,98929.29912222845,26370.971056930448,11934.345688708543,38305.31674563899,137234.61586786743,4171932.3223831696,147309261.53042078,15386920.791413609,5744750.807921625,168440933.129756,60868492.58357044,107572440.54618555,72828000.0,34744440.54618555,42045322.11035611,0.8771726012678803,30476871.293494795,36881004.56668699
17,97239.69006367166,27096.318773624575,12259.617705186414,39355.93647881099,136595.62654248264,4152507.0468914723,146623362.82291916,15315276.490345132,5718002.203569558,167656641.51683384,60585077.81414658,107071563.70268726,72828000.0,34243563.70268726,41510451.03474733,0.8702332392125,29799887.363169126,36123774.26514004
18,95609.88278979814,27792.05137539806,12569.890739975335,40361.94211537339,135971.82490517152,4133543.4771172144,145953766.759618,15245335.052303713,5691889.367990405,166890991.17991212,60308399.33114015,106582591.84877196,72828000.0,33754591.84877196,40988292.933727086,0.8633487748427816,29141985.517955415,35387192.48723032
19,94036.71127891564,28460.704826683323,12866.462923698678,41327.167750382,135363.87902929765,4115061.9224906485,145301190.4583758,15177171.38253001,5666440.267269623,166144802.10817543,60038753.44913856,106106048.65903687,72828000.0,33278048.659036875,40479407.02339551,0.8565187738600293,28503273.433892656,34671372.07025978
20,92517.23060825437,29104.49445338416,13150.471815381625,42254.966268765784,134772.19687702015,4097074.7850614125,144666071.83060446,15110831.222263502,5641671.979029565,165418575.03189754,59776321.11404601,105642253.91785154,72828000.0,32814253.917851537,39984134.791709006,0.8497428054013085,27883676.181306046,33976230.869450875
21,91048.69791172544,29725.367449956542,13422.919762728176,43148.28721268472,134196.9851244102,4079588.3477820694,144048632.72484577,15046337.744289828,5617593.154895909,164712563.62403148,59521193.994140394,105191369.6298911,72828000.0,32363369.629891098,39502649.238509715,0.8430204420122662,27282982.170397148,33301540.82170397
22,89628.55527716632,30325.044988896407,13684.69445397256,44009.739442868966,133638.29472003528,4062604.1594890724,143448927.82989538,14983696.661027597,5594205.927616452,164026830.41853943,59273394.686945565,104753435.73159388,72828000.0,31925435.731593877,39034993.01069975,0.8363512596201644,26700878.388041146,32646965.57376305
